frame,adaptive_phase,adaptive_state,adaptive_time_left,fixed_phase,fixed_state,fixed_time_left
46,1,GREEN,15.0,1,GREEN,30.0
47,1,GREEN,14.9,1,GREEN,29.9
48,1,GREEN,14.9,1,GREEN,29.9
49,1,GREEN,14.9,1,GREEN,29.9
50,1,GREEN,14.8,1,GREEN,29.8
51,1,GREEN,14.8,1,GREEN,29.8
52,1,GREEN,14.8,1,GREEN,29.8
53,1,GREEN,14.7,1,GREEN,29.7
54,1,GREEN,14.7,1,GREEN,29.7
55,1,GREEN,14.7,1,GREEN,29.7
56,1,GREEN,14.6,1,GREEN,29.6
57,1,GREEN,14.6,1,GREEN,29.6
58,1,GREEN,14.6,1,GREEN,29.6
59,1,GREEN,14.5,1,GREEN,29.5
60,1,GREEN,14.5,1,GREEN,29.5
61,1,GREEN,14.5,1,GREEN,29.5
62,1,GREEN,14.4,1,GREEN,29.4
63,1,GREEN,14.4,1,GREEN,29.4
64,1,GREEN,14.4,1,GREEN,29.4
65,1,GREEN,14.3,1,GREEN,29.3
66,1,GREEN,14.3,1,GREEN,29.3
67,1,GREEN,14.3,1,GREEN,29.3
68,1,GREEN,14.2,1,GREEN,29.2
69,1,GREEN,14.2,1,GREEN,29.2
70,1,GREEN,14.2,1,GREEN,29.2
71,1,GREEN,14.1,1,GREEN,29.1
72,1,GREEN,14.1,1,GREEN,29.1
73,1,GREEN,14.1,1,GREEN,29.1
74,1,GREEN,14.0,1,GREEN,29.0
75,1,GREEN,14.0,1,GREEN,29.0
76,1,GREEN,14.0,1,GREEN,29.0
77,1,GREEN,13.9,1,GREEN,28.9
78,1,GREEN,13.9,1,GREEN,28.9
79,1,GREEN,13.9,1,GREEN,28.9
80,1,GREEN,13.8,1,GREEN,28.8
81,1,GREEN,13.8,1,GREEN,28.8
82,1,GREEN,13.8,1,GREEN,28.8
83,1,GREEN,13.7,1,GREEN,28.7
84,1,GREEN,13.7,1,GREEN,28.7
85,1,GREEN,13.7,1,GREEN,28.7
86,1,GREEN,13.6,1,GREEN,28.6
87,1,GREEN,13.6,1,GREEN,28.6
88,1,GREEN,13.6,1,GREEN,28.6
89,1,GREEN,13.5,1,GREEN,28.5
90,1,GREEN,13.5,1,GREEN,28.5
91,1,GREEN,13.5,1,GREEN,28.5
92,1,GREEN,13.4,1,GREEN,28.4
93,1,GREEN,13.4,1,GREEN,28.4
94,1,GREEN,13.4,1,GREEN,28.4
95,1,GREEN,13.3,1,GREEN,28.3
96,1,GREEN,13.3,1,GREEN,28.3
97,1,GREEN,13.3,1,GREEN,28.3
98,1,GREEN,13.2,1,GREEN,28.2
99,1,GREEN,13.2,1,GREEN,28.2
100,1,GREEN,13.2,1,GREEN,28.2
101,1,GREEN,13.1,1,GREEN,28.1
102,1,GREEN,13.1,1,GREEN,28.1
103,1,GREEN,13.1,1,GREEN,28.1
104,1,GREEN,13.0,1,GREEN,28.0
105,1,GREEN,13.0,1,GREEN,28.0
106,1,GREEN,13.0,1,GREEN,28.0
107,1,GREEN,12.9,1,GREEN,27.9
108,1,GREEN,12.9,1,GREEN,27.9
109,1,GREEN,12.9,1,GREEN,27.9
110,1,GREEN,12.8,1,GREEN,27.8
