frame,North_Straight,North_Left,South_Straight,South_Left,East_Straight,East_Left,West_Straight,West_Left,Center
46,0,0,0,0,1,2,0,1,0
47,0,0,0,0,1,2,0,1,0
48,0,0,0,0,3,2,0,3,0
49,0,0,0,0,1,1,0,1,0
50,0,0,0,0,1,1,0,1,0
51,0,0,0,0,2,2,0,3,0
52,0,0,0,0,3,2,0,3,0
53,0,0,0,0,3,3,0,3,0
54,1,0,0,0,5,3,2,5,1
55,1,0,0,0,5,3,2,5,1
56,1,0,0,0,6,6,4,5,1
57,1,0,0,0,6,7,5,5,1
58,0,0,0,0,6,7,4,5,1
59,0,1,0,0,8,9,6,6,2
60,0,1,0,0,8,9,6,6,2
61,0,2,0,1,10,9,11,6,4
62,0,2,0,1,10,9,11,6,4
63,0,2,0,2,10,9,9,6,4
64,0,2,0,2,11,10,9,6,4
65,0,2,0,2,11,10,9,6,4
66,0,2,0,2,11,10,9,6,5
67,0,2,0,2,11,10,9,6,5
68,0,2,0,2,11,10,9,6,5
69,0,2,0,2,11,10,9,6,6
70,0,2,0,2,11,10,9,6,6
71,1,3,0,2,11,10,9,6,5
72,1,3,0,2,11,10,9,6,5
73,1,3,0,2,11,10,9,6,5
74,1,3,1,2,11,10,9,6,5
75,1,3,1,2,11,10,9,6,5
76,1,4,1,2,11,10,9,6,4
77,1,4,1,2,11,10,9,6,4
78,1,4,1,2,11,9,10,6,3
79,1,3,1,2,11,9,10,6,3
80,1,3,1,2,11,9,10,6,2
81,1,3,2,2,11,9,10,6,2
82,1,3,2,2,11,9,10,6,2
83,1,4,2,2,11,9,10,6,2
84,1,4,2,2,11,9,10,6,2
85,1,4,2,2,11,9,10,6,2
86,1,4,1,2,11,9,10,6,2
87,1,4,1,2,11,9,10,6,2
88,1,3,1,2,10,9,10,6,3
89,1,3,1,2,10,9,10,6,3
90,1,3,1,2,10,9,10,6,3
91,1,3,0,2,10,9,10,6,3
92,1,3,0,2,10,9,10,6,3
93,1,3,0,2,10,9,10,6,4
94,1,3,0,2,10,9,10,6,4
95,1,4,0,2,10,9,10,6,4
96,0,4,0,2,10,9,10,6,5
97,0,4,0,2,10,9,10,6,5
98,0,4,0,2,10,9,9,6,4
99,0,4,0,2,10,9,9,6,4
100,0,4,0,2,10,9,9,6,4
101,0,4,1,2,10,9,10,6,5
102,0,4,1,2,10,9,10,6,5
103,0,4,1,2,10,9,9,6,5
104,0,4,1,2,10,9,9,6,5
105,0,4,1,2,10,9,9,6,5
106,0,4,1,2,10,9,8,6,5
107,0,4,1,2,10,9,8,6,5
